#,Record ID,Power Almanac Account ID,Role,Title,Person ID,First Name,Last Name,Email Address,Phone Number,Phone Number Ext,Street Address or PO Box Number,Suite Number,City,State,Zip Code,Government Category,Government Designated Name,Government Place Name,Government Category Name,Government County Location,Government Web Address,Government Main Phone Number,Government Street Address,Government City,Government State,Government Zip Code,Population,Last Verified Date,Update Status
1,201100200200000-110-5C2FF0,201100200200000,Head of IT,CIS Director,201100200200000-BEDF7C7,[redacted],[redacted],[redacted],[redacted],,312 Courthouse Square,,Bay Minette,AL,"=""36507""",county,Baldwin County,Baldwin,County,Baldwin,http://www.baldwincountyal.gov/,251-580-2564,322 Courthouse Square,Bay Minette,AL,"=""36507""",218289.0,10-Mar-2023,SAME
2,201100400400000-110-5C2FF0,201100400400000,Head of IT,County Administrator,201100400400000-DF9565D,[redacted],[redacted],[redacted],[redacted],,157 SW Davidson Drive,,Centreville,AL,"=""35042""",county,Bibb County,Bibb,County,Bibb,http://www.bibbal.com/,205-926-3114,157 SW Davidson Drive,Centreville,AL,"=""35042""",22374.0,10-Mar-2023,SAME
3,201100500500000-110-5C2FF0,201100500500000,Head of IT,IT Manager,201100500500000-6A70B8A,[redacted],[redacted],[redacted],[redacted],,220 2nd Ave E,,Oneonta,AL,"=""35121""",county,Blount County,Blount,County,Blount,https://www.blountcountyal.gov/,205-625-6868,220 2nd Ave E,Oneonta,AL,"=""35121""",57755.0,10-Mar-2023,SAME
4,201100800800000-110-5C2FF0,201100800800000,Head of IT,IT Manager,201100800800000-DCC1388,[redacted],[redacted],[redacted],[redacted],,1702 Noble Street,Suite 103,Anniston,AL,"=""36201""",county,Calhoun County,Calhoun,County,Calhoun,https://www.calhouncounty.org/,256-241-2800,1702 Noble Street,Anniston,AL,"=""36201""",114324.0,10-Mar-2023,SAME
5,201100900900000-110-5C2FF0,201100900900000,Head of IT,IT Director,201100900900000-514FDD3,[redacted],[redacted],[redacted],[redacted],,2 South Lafayette Street,,Lafayette,AL,"=""36862""",county,Chambers County,Chambers,County,Chambers,http://www.chamberscountyal.gov/,334-864-4341,2 South Lafayette Street,Lafayette,AL,"=""36862""",33427.0,10-Mar-2023,SAME
6,201101601600000-110-5C2FF0,201101601600000,Head of IT,IT Director,201101601600000-DB2F706,[redacted],[redacted],[redacted],[redacted],,2 County Complex,,New Brockton,AL,"=""36351""",county,Coffee County,Coffee,County,Coffee,http://www.coffeecounty.us/,334-894-5556,2 County Complex,New Brockton,AL,"=""36351""",52238.0,10-Mar-2023,SAME
7,201101701700000-110-5C2FF0,201101701700000,Head of IT,Data Processing Manager,201101701700000-9561057,[redacted],[redacted],[redacted],[redacted],,201 N. Main Street,,Tuscumbia,AL,"=""35674""",county,Colbert County,Colbert,County,Colbert,http://www.colbertcounty.org/,256-386-8500,201 N. Main Street,Tuscumbia,AL,"=""35674""",54957.0,10-Mar-2023,SAME
8,201101801800000-110-5C2FF0,201101801800000,Head of IT,IT Manager,201101801800000-ED63E0D,[redacted],[redacted],[redacted],[redacted],,P O Box 347,,Evergreen,AL,"=""36401""",county,Conecuh County,Conecuh,County,Conecuh,https://www.conecuhcounty.us/,251-578-2095,111 Court Street,Evergreen,AL,"=""36401""",12219.0,10-Mar-2023,SAME
9,201102002000000-110-5C2FF0,201102002000000,Head of IT,IT Director,201102002000000-2DB9786,[redacted],[redacted],[redacted],[redacted],,PO Box 188,,Andalusia,AL,"=""36420""",county,Covington County,Covington,County,Covington,http://www.covcounty.com,334-428-2610,260 Hillcrest Drive,Andalusia,AL,"=""36420""",37096.0,10-Mar-2023,SAME
10,201102202200000-110-5C2FF0,201102202200000,Head of IT,IT Manager,201102202200000-1E2AE50,[redacted],[redacted],[redacted],[redacted],,500 2nd Avenue SW,,Cullman,AL,"=""35055""",county,Cullman County,Cullman,County,Cullman,http://www.co.cullman.al.us/,258-775-4878,500 2nd Avenue SW,Cullman,AL,"=""35055""",83345.0,20-Jan-2023,SAME
